date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-16:14:41,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,square,0.01,10000,random,5,1.88869,0.377737,0.378894,0.00455787,1,0.381018,28010,0,40,dynamic,6777665,9352400,6709812
2025-07-09-16:14:46,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,square,0.05,10000,random,5,4.11241,0.822481,0.823435,0.0106148,1,0.820089,323961,0,40,dynamic,14289982,20330576,14574284
2025-07-09-16:14:52,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,square,0.1,10000,random,5,5.38233,1.07647,1.07897,0.011911,1,1.06554,822445,0,40,dynamic,18746682,26501192,19112663
2025-07-09-16:15:01,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,square,0.2,10000,random,5,7.26443,1.45289,1.45422,0.0134834,1,1.44028,2106487,0,40,dynamic,25568818,35944532,26065022
2025-07-09-16:15:01,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,cube,0.01,10000,random,5,0.0689888,0.0137978,0.0138116,0.000118911,1,0.0144338,500,0,40,dynamic,332777,362388,238991
2025-07-09-16:15:02,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,cube,0.05,10000,random,5,0.995203,0.199041,0.198023,0.00166809,1,0.198622,21326,0,40,dynamic,6034969,6998345,3101494
2025-07-09-16:15:07,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,cube,0.1,10000,random,5,4.02903,0.805806,0.808345,0.00842663,1,0.800554,82382,0,40,dynamic,21255399,26064779,12536909
2025-07-09-16:15:26,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,cube,0.2,10000,random,5,15.756,3.1512,3.15826,0.0193423,1,3.111,319446,0,40,dynamic,71632244,90516614,45613094
2025-07-09-16:15:26,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,cube,0.01,10000,random,5,0.0584364,0.0116873,0.0116397,9.32784e-05,1,0.0118699,500,0,40,dynamic,270588,284359,197863
2025-07-09-16:15:27,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,cube,0.05,10000,random,5,0.368524,0.0737049,0.0736251,0.00029991,1,0.0743076,21326,0,40,dynamic,3552431,3729350,1178409
